Council Area,Organisation ,Session Name,Activity Status,Support Type,Delivery Type,Age Group,Day,Start,End,Address,Postcode,Lead Contact,Phone,Email,Website,Self Referral,Cost Type,Cost Amount,Eligibility,Description on Recovery Map,Additional Notes,Category,Start Time,End Time,Time Range,Full Address,lat,lng
Dundee City,DDARS (Dundee Drug & Alcohol Recovery Service),Treatment For Alcohol & Opiod Dependence,By Appointment,Addiction Support,One-To-One,All Ages,Friday,09:00:00,17:00:00,"Consitution House, 55 Constitution Road,Dundee",DD1 1LB,Unknown,01382 632542,Not listed,https://www.nhstayside.scot.nhs.uk/OurServicesA-Z/TaysideSubstanceUseServices/PROD_347157/index.htm,Yes,Free,,Anyone who requires to access support for their opiate or alcohol use,"Drug and alcohol treatment, harm reduction and counselling.","Our focus is treatment for opiate and alcohol dependence.  For help with other forms of problem substance use, contact our partner agencies",Addiction Support,09:00,17:00,09:00-17:00,"Consitution House, 55 Constitution Road,Dundee, DD1 1LB, Scotland",56.463942,-2.97591
Dundee City,DDARS (Dundee Drug & Alcohol Recovery Service),Treatment For Alcohol & Opiod Dependence,Open Access,Addiction Support,One-To-One,All Ages,Monday,09:30:00,12:00:00,"Consitution House, 55 Constitution Road,Dundee",DD1 1LB,Unknown,01382 632542,Not listed,https://www.nhstayside.scot.nhs.uk/OurServicesA-Z/TaysideSubstanceUseServices/PROD_347157/index.htm,Yes,Free,,Anyone who requires to access support for their opiate or alcohol use,"Drug and alcohol treatment, harm reduction and counselling.","Last assessment at 11:00. Our focus is treatment for opiate and alcohol dependence.  For help with other forms of problem substance use, contact our partner agencies",Addiction Support,09:30,12:00,09:30-12:00,"Consitution House, 55 Constitution Road,Dundee, DD1 1LB, Scotland",56.463942,-2.97591
Dundee City,DDARS (Dundee Drug & Alcohol Recovery Service),Treatment For Alcohol & Opiod Dependence,Open Access,Addiction Support,One-To-One,All Ages,Monday,13:00:00,15:00:00,"Consitution House, 55 Constitution Road,Dundee",DD1 1LB,Unknown,01382 632542,Not listed,https://www.nhstayside.scot.nhs.uk/OurServicesA-Z/TaysideSubstanceUseServices/PROD_347157/index.htm,Yes,Free,,Anyone who requires to access support for their opiate or alcohol use,"Drug and alcohol treatment, harm reduction and counselling.","Last assessment at 14:30. Our focus is treatment for opiate and alcohol dependence.  For help with other forms of problem substance use, contact our partner agencies",Addiction Support,13:00,15:00,13:00-15:00,"Consitution House, 55 Constitution Road,Dundee, DD1 1LB, Scotland",56.463942,-2.97591
Dundee City,DDARS (Dundee Drug & Alcohol Recovery Service),Treatment For Alcohol & Opiod Dependence,Open Access,Addiction Support,One-To-One,All Ages,Tuesday,09:30:00,12:00:00,"Consitution House, 55 Constitution Road,Dundee",DD1 1LB,Unknown,01382 632542,Not listed,https://www.nhstayside.scot.nhs.uk/OurServicesA-Z/TaysideSubstanceUseServices/PROD_347157/index.htm,Yes,Free,,Anyone who requires to access support for their opiate or alcohol use,"Drug and alcohol treatment, harm reduction and counselling.","Last assessment at 11:00. Our focus is treatment for opiate and alcohol dependence.  For help with other forms of problem substance use, contact our partner agencies",Addiction Support,09:30,12:00,09:30-12:00,"Consitution House, 55 Constitution Road,Dundee, DD1 1LB, Scotland",56.463942,-2.97591
Dundee City,DDARS (Dundee Drug & Alcohol Recovery Service),Treatment For Alcohol & Opiod Dependence,Open Access,Addiction Support,One-To-One,All Ages,Tuesday,13:00:00,15:00:00,"Consitution House, 55 Constitution Road,Dundee",DD1 1LB,Unknown,01382 632542,Not listed,https://www.nhstayside.scot.nhs.uk/OurServicesA-Z/TaysideSubstanceUseServices/PROD_347157/index.htm,Yes,Free,,Anyone who requires to access support for their opiate or alcohol use,"Drug and alcohol treatment, harm reduction and counselling.","Last assessment at 14:30. Our focus is treatment for opiate and alcohol dependence.  For help with other forms of problem substance use, contact our partner agencies",Addiction Support,13:00,15:00,13:00-15:00,"Consitution House, 55 Constitution Road,Dundee, DD1 1LB, Scotland",56.463942,-2.97591
Dundee City,DDARS (Dundee Drug & Alcohol Recovery Service),Treatment For Alcohol & Opiod Dependence,By Appointment,Addiction Support,One-To-One,All Ages,Wednesday,09:00:00,12:00:00,"Consitution House, 55 Constitution Road,Dundee",DD1 1LB,Unknown,01382 632542,Not listed,https://www.nhstayside.scot.nhs.uk/OurServicesA-Z/TaysideSubstanceUseServices/PROD_347157/index.htm,Yes,Free,,Anyone who requires to access support for their opiate or alcohol use,"Drug and alcohol treatment, harm reduction and counselling.","Planned assessments. Our focus is treatment for opiate and alcohol dependence.  For help with other forms of problem substance use, contact our partner agencies",Addiction Support,09:00,12:00,09:00-12:00,"Consitution House, 55 Constitution Road,Dundee, DD1 1LB, Scotland",56.463942,-2.97591
Dundee City,DDARS (Dundee Drug & Alcohol Recovery Service),Treatment For Alcohol & Opiod Dependence,By Appointment,Addiction Support,One-To-One,All Ages,Wednesday,13:00:00,15:00:00,"Consitution House, 55 Constitution Road,Dundee",DD1 1LB,Unknown,01382 632542,Not listed,https://www.nhstayside.scot.nhs.uk/OurServicesA-Z/TaysideSubstanceUseServices/PROD_347157/index.htm,Yes,Free,,Anyone who requires to access support for their opiate or alcohol use,"Drug and alcohol treatment, harm reduction and counselling.","Planned assessments. Our focus is treatment for opiate and alcohol dependence.  For help with other forms of problem substance use, contact our partner agencies",Addiction Support,13:00,15:00,13:00-15:00,"Consitution House, 55 Constitution Road,Dundee, DD1 1LB, Scotland",56.463942,-2.97591
Dundee City,DDARS (Dundee Drug & Alcohol Recovery Service),Treatment For Alcohol & Opiod Dependence,Open Access,Addiction Support,One-To-One,All Ages,Thursday,09:30:00,12:00:00,"Wallacetown Health Centre, Lyon Street, Dundee",DD4 6RB,Unknown,01382 632542,Not listed,https://www.nhstayside.scot.nhs.uk/OurServicesA-Z/TaysideSubstanceUseServices/PROD_347157/index.htm,Yes,Free,,Anyone who requires to access support for their opiate or alcohol use,"Drug and alcohol treatment, harm reduction and counselling.","Last assessment at 11:00. Our focus is treatment for opiate and alcohol dependence.  For help with other forms of problem substance use, contact our partner agencies",Addiction Support,09:30,12:00,09:30-12:00,"Wallacetown Health Centre, Lyon Street, Dundee, DD4 6RB, Scotland",56.468227,-2.959603
Dundee City,DDARS (Dundee Drug & Alcohol Recovery Service),Treatment For Alcohol & Opiod Dependence,Open Access,Addiction Support,One-To-One,All Ages,Thursday,13:00:00,15:00:00,"Wallacetown Health Centre, Lyon Street, Dundee",DD4 6RB,Unknown,01382 632542,Not listed,https://www.nhstayside.scot.nhs.uk/OurServicesA-Z/TaysideSubstanceUseServices/PROD_347157/index.htm,Yes,Free,,Anyone who requires to access support for their opiate or alcohol use,"Drug and alcohol treatment, harm reduction and counselling.","Last assessment at 14:30. Our focus is treatment for opiate and alcohol dependence.  For help with other forms of problem substance use, contact our partner agencies",Addiction Support,13:00,15:00,13:00-15:00,"Wallacetown Health Centre, Lyon Street, Dundee, DD4 6RB, Scotland",56.468227,-2.959603
Dundee City,DDARS (Dundee Drug & Alcohol Recovery Service),Treatment For Alcohol & Opiod Dependence,Open Access,Addiction Support,One-To-One,Women,Thursday,13:00:00,16:00:00,"Women's Hub, 2 Dudhope Street, Dundee",DD1 1JU,Unknown,01382 632542,Not listed,https://www.nhstayside.scot.nhs.uk/OurServicesA-Z/TaysideSubstanceUseServices/PROD_347157/index.htm,Yes,Free,,Women who require to access support for their opiate or alcohol use,"Drug and alcohol treatment, harm reduction and counselling.","Last assessment at 15:00. Our focus is treatment for opiate and alcohol dependence.  For help with other forms of problem substance use, contact our partner agencies",Addiction Support,13:00,16:00,13:00-16:00,"Women's Hub, 2 Dudhope Street, Dundee, DD1 1JU, Scotland",56.464971,-2.975326
Dundee City,DDARS (Dundee Drug & Alcohol Recovery Service),Signposting And Support,Open Access,Addiction Support,One-To-One,All Ages,Friday,11:00:00,13:00:00,"118 Nethergate Meadowside St Paul's Church (side entrance), Dundee",DD1 4EH,Unknown,01382 632542,Not listed,https://dundeeadp.co.uk/how-can-we-help-you,Yes,Free,,Anyone who requires to access support for their opiate or alcohol use,"Drug and alcohol treatment, harm reduction and counselling.",Signposting and support,Addiction Support,11:00,13:00,11:00-13:00,"118 Nethergate Meadowside St Paul's Church (side entrance), Dundee, DD1 4EH, Scotland",56.458385,-2.972881
Dundee City,TCA,Adult Counselling,By Appointment,Addiction Support,One-To-One,Adults,Unknown,Unknown,Unknown,"The Wishart Centre, 50 Constable Road, Dundee",DD4 6AD,Teodor Omelasz,01382 456012,teodor.omelasz@tca_dundee.com,https://alcoholtayside.com/services/#dundee,Yes,Free,,"Individuals considering behaviour change with regards to alcohol, cocaine, NPS, gambling and those affected by another's use.","Adult Alcohol?Substance/gambling Counselling service which is delivered by qualified, supervised counsellors and includes other forms of therapeutic interventions offered by TCA.",,Addiction Support,,,Unknown,"The Wishart Centre, 50 Constable Road, Dundee, DD4 6AD, Scotland",56.465578,-2.962432
Dundee City,TCA,Young People'S Counselling,By Appointment,Family/Carer Support,One-To-One,Young People,Unknown,Unknown,Unknown,"The Wishart Centre, 50 Constable Road, Dundee",DD4 6AD,Ashton Dempster,01382 456012,ashton.dempster@tca-angus.com,https://alcoholtayside.com/services/#dundee,Unknown,Free,,Age 10-18 in primary or secondary school in Tayside,Not on Recovery Map,"Support for a range of issues connected to mental health and wellbeing, including the impact of substance use, loss & grief, risk taking,self-harming behaviour, relationships, bullying and self-worth.  Delivered in office, at school or over phone/video.",Family/Carer Support,,,Unknown,"The Wishart Centre, 50 Constable Road, Dundee, DD4 6AD, Scotland",56.465578,-2.962432
Dundee City,TCA,Creative Therapies,By Appointment,Family/Carer Support,One-To-One,Young People,Unknown,Unknown,Unknown,"The Wishart Centre, 50 Constable Road, Dundee",DD4 6AD,Natalie Bywater,01382 456012,natalie.bywater@tca-dundee.com,https://alcoholtayside.com/services/#dundee,Yes,Free,,Age 3-26,Not on Recovery Map,"Talking and engaging in creative expression such as: art-making, dance & movement, music or improvisation and play.",Family/Carer Support,,,Unknown,"The Wishart Centre, 50 Constable Road, Dundee, DD4 6AD, Scotland",56.465578,-2.962432
Dundee City,TCA,Creative Therapies,By Appointment,Family/Carer Support,One-To-One,Children,Unknown,Unknown,Unknown,"The Wishart Centre, 50 Constable Road, Dundee",DD4 6AD,Natalie Bywater,01382 456012,natalie.bywater@tca-dundee.com,https://alcoholtayside.com/services/#dundee,Yes,Free,,Age 3-26,Not on Recovery Map,"Talking and engaging in creative expression such as: art-making, dance & movement, music or improvisation and play.",Family/Carer Support,,,Unknown,"The Wishart Centre, 50 Constable Road, Dundee, DD4 6AD, Scotland",56.465578,-2.962432
Dundee City,TCA,Smart Recovery Group,Scheduled Activity,Peer Support,Group,Adults,Monday,13:00:00,14:30:00,"The Wishart Centre, 50 Constable Road, Dundee",DD4 6AD,Teodor Omelasz,01382 456012,teodor.omelasz@tca_dundee.com,https://alcoholtayside.com/services/#dundee,Yes,Free,,Adults,Mutual aid support - self-management and recovery training. Come along and support each other.,"***Check facilitator, as it's listed on SMART Recovery website as being facilitated by Michael McGuire, but same day and time",Peer Support,13:00,14:30,13:00-14:30,"The Wishart Centre, 50 Constable Road, Dundee, DD4 6AD, Scotland",56.465578,-2.962432
Dundee City,TCA,Women Only Zone (Woz),Scheduled Activity,Addiction Support,Group,Women,Wednesday,13:00:00,15:00:00,"The Wishart Centre, 50 Constable Road, Dundee",DD4 6AD,Unknown,01382 456012,enquiries@alcoholtayside.com,https://alcoholtayside.com/services/#dundee,Yes,Free,,Adult women,We bring together women who are looking for support in their recovery process. The group consists of peer support for the first hour and a group activity in the second hour,"Group members who have been through their own personal recovery journey are able to offer support and share their personal experiences to help others, and the group is also co-facilitated by a trained TCA worker.",Addiction Support,13:00,15:00,13:00-15:00,"The Wishart Centre, 50 Constable Road, Dundee, DD4 6AD, Scotland",56.465578,-2.962432
Dundee City,TCA,Boost,Scheduled Activity,Addiction Support,Group,Young People,Wednesday,17:00:00,19:00:00,"The Wishart Centre, 50 Constable Road, Dundee",DD4 6AD,Georgia Urquhart,01382 456012,georgia.urquhart@tca-dundee.com,https://alcoholtayside.com/services/#dundee,Unknown,Free,,Males age 11-17,Not on Recovery Map,"We provide weekly group input during term time for young people who are affected by substance use, and who may also be experiencing wider issues in the community, at school and in the home.",Addiction Support,17:00,19:00,17:00-19:00,"The Wishart Centre, 50 Constable Road, Dundee, DD4 6AD, Scotland",56.465578,-2.962432
Dundee City,TCA,The Klub,Scheduled Activity,Addiction Support,Group,Young People,Thursday,17:00:00,19:00:00,"The Wishart Centre, 50 Constable Road, Dundee",DD4 6AD,Georgia Urquhart,01382 456012,georgia.urquhart@tca-dundee.com,https://alcoholtayside.com/services/#dundee,Unknown,Free,,Females age 11-17,Not on Recovery Map,"We provide weekly group input during term time for young people who are affected by substance use, and who may also be experiencing wider issues in the community, at school and in the home.",Addiction Support,17:00,19:00,17:00-19:00,"The Wishart Centre, 50 Constable Road, Dundee, DD4 6AD, Scotland",56.465578,-2.962432
Dundee City,TCA,Young People'S Mentoring,By Appointment,Family/Carer Support,One-To-One,Young People,Various,Various,Various,"The Wishart Centre, 50 Constable Road, Dundee",DD4 6AD,Georgia Urquhart,01382 456012,georgia.urquhart@tca-dundee.com,https://alcoholtayside.com/services/#dundee,Unknown,Free,,Age 8-19,Not on Recovery Map,An early intervention programme that uses a voluntary mentoring approach to engage with young people aged 8 to 19 years who are affected in some way by drugs/alcohol or anti-social/offending behaviour.,Family/Carer Support,,,Various,"The Wishart Centre, 50 Constable Road, Dundee, DD4 6AD, Scotland",56.465578,-2.962432
Dundee City,TCA,Intandem Family Mentoring,By Appointment,Family/Carer Support,Mixed,All Ages,Various,Various,Various,"The Wishart Centre, 50 Constable Road, Dundee",DD4 6AD,Unknown,01382 456012,Not listed,https://alcoholtayside.com/services/#dundee,Unknown,Free,,Age 7-15 living in kinship arrangements,Not on Recovery Map,"Aims to build positive, trusted relationships with children and young people, aged 7-15 years old, living in kinship arrangements (and wider family).",Family/Carer Support,,,Various,"The Wishart Centre, 50 Constable Road, Dundee, DD4 6AD, Scotland",56.465578,-2.962432
Dundee City,TCA,Kith 'N' Kin Project Children & Carers Group,Scheduled Activity,Family/Carer Support,Group,All Ages,Tuesday,16:30:00,18:00:00,"Douglas Community Centre, Balmoral Avenue, Dundee",DD4 8SD,Laurie Cook,01382 456012,Laurie.cook@tce-dundee.com,https://alcoholtayside.com/services/#dundee,Unknown,Free,,Age 0-18 living in Kinship Care arrangements due to Parental Substance Use (and carers).,"Support service for kinship families affected by substance use. It is open to children/young people and carers who are looking for individual or group support to address their need for advice, emotional/practical support","Weekly Kith‘n’Kin groups take place in Arbroath, Dundee and Perth, giving families the opportunity to meet others in their community who live in similar circumstances, which can help to reduce isolation and build wider peer support networks.",Family/Carer Support,16:30,18:00,16:30-18:00,"Douglas Community Centre, Balmoral Avenue, Dundee, DD4 8SD, Scotland",56.478979,-2.902232
Dundee City,TCA,Kith 'N' Kin Project Carers Group,Scheduled Activity,Family/Carer Support,Group,Adults,Wednesday,09:30:00,11:30:00,"Angus Housing Association, Torwood Place, Ormington Crescent, Dundee",DD4 0UD,Laurie Cook,01382 456012,Laurie.cook@tce-dundee.com,https://alcoholtayside.com/services/#dundee,Unknown,Free,,Carers of children and young people in Kinship Care arrangements due to Parental Substance Use.,"Support service for kinship families affected by substance use. It is open to children/young people and carers who are looking for individual or group support to address their need for advice, emotional/practical support","Weekly Kith‘n’Kin groups take place in Arbroath, Dundee and Perth, giving families the opportunity to meet others in their community who live in similar circumstances, which can help to reduce isolation and build wider peer support networks.",Family/Carer Support,09:30,11:30,09:30-11:30,"Angus Housing Association, Torwood Place, Ormington Crescent, Dundee, DD4 0UD, Scotland",56.492596,-2.930175
Dundee City,TCA,Mentoring For Men,By Appointment,Addiction Support,One-To-One,Men,Various,Various,Various,Outreach in the community in Dundee,OUTREACH,Mark Harris,01382 456012,mark.harris@tca-dundee.com,https://alcoholtayside.com/services/#dundee,Unknown,Free,,Men in Dundee at risk of failing to comply with community based justice sentences and are at risk of short custodial sentences,Not on Recovery Map,"Mentors provide one to one support to clients and work with them to address the causes of their offending, for example substance use or inadequate support networks.",Addiction Support,,,Various,"Outreach in the community in Dundee, OUTREACH, Scotland",55.917198,-4.367794
Dundee City,TCA,Women Only Mentoring (Wom) Project,By Appointment,Addiction Support,One-To-One,Women,Various,Various,Various,Outreach in the community in Dundee,OUTREACH,Mark Harris,01382 456012,mark.harris@tca-dundee.com,https://alcoholtayside.com/services/#dundee,Unknown,Free,,Women aged 16+ living in the Dundee area who are involved in the Community Justice System,Not on Recovery Map,"The mentoring helps the women to move on from the past, find their self-worth and feel valued in their community.",Addiction Support,,,Various,"Outreach in the community in Dundee, OUTREACH, Scotland",55.917198,-4.367794
Dundee City,TCA,Beyond Mentoring Project,By Appointment,Addiction Support,Mixed,Women,Various,Various,Various,"The Wishart Centre, 50 Constable Road, Dundee",DD4 6AD,Sarah Healey,01382 456012,sarah.healey@tca-dundee.com,https://alcoholtayside.com/services/#dundee,Unknown,Free,,Women in Dundee aged 18+ who have been involved with the Community Justice System and/or substance services,"We offer support to women who have had past involvement with community justice or substance services, and are ready to move on from these services but still require voluntary support.","A range of support is offered including one to one support, group support, peer-led recovery groups, drop-ins and activity groups.",Addiction Support,,,Various,"The Wishart Centre, 50 Constable Road, Dundee, DD4 6AD, Scotland",56.465578,-2.962432
Dundee City,TCA,Safe Zone Bus,Open Access,Health And Wellbeing,One-To-One,All Ages,Friday,18:00:00,20:30:00,"Court Street, Stobswell, Dundee (at the lower half of the street, at the bottom of the hill)",DD3 7QS,Carol Bailey,01382 456012,carol.bailey@tca-dundee.com,https://alcoholtayside.com/services/#dundee,Yes,Free,,Open to all,"Workers from a variety of services are on board to assist with substance use, advice on housing, debt, benefits, health and sexual health. No referral required.","Safe Zone works in partnership with other agencies to support communities in Dundee, helping alleviate immediate crisis and where needed signpost and refer people to access the services and support",Health and Wellbeing,18:00,20:30,18:00-20:30,"Court Street, Stobswell, Dundee (at the lower half of the street, at the bottom of the hill), DD3 7QS, Scotland",56.474667,-2.963078
Dundee City,TCA,Safe Zone Bus,Open Access,Health And Wellbeing,One-To-One,All Ages,Saturday,18:00:00,20:30:00,"Farmfoods car park, 3 Flights Lane, Dundee",DD2 3PX,Carol Bailey,01382 456012,carol.bailey@tca-dundee.com,https://alcoholtayside.com/services/#dundee,Yes,Free,,Open to all,"Workers from a variety of services are on board to assist with substance use, advice on housing, debt, benefits, health and sexual health. No referral required.","Safe Zone works in partnership with other agencies to support communities in Dundee, helping alleviate immediate crisis and where needed signpost and refer people to access the services and support",Health and Wellbeing,18:00,20:30,18:00-20:30,"Farmfoods car park, 3 Flights Lane, Dundee, DD2 3PX, Scotland",56.47146,-3.01038
Dundee City,TCA,Birch,By Appointment,Addiction Support,One-To-One,Adults,Unknown,Unknown,Unknown,"The Wishart Centre, 50 Constable Road, Dundee",DD4 6AD,Alison Leuchards,01382 456012,alison.leuchars@tca-dundee.com,https://alcoholtayside.com/services/#dundee,Unknown,Free,,Parents who have had a child/children removed from their care,Not on Recovery Map,"Provides individualised support at the pace of the parent while providing opportunities for new experiences, peer support and access to wider support networks.",Addiction Support,,,Unknown,"The Wishart Centre, 50 Constable Road, Dundee, DD4 6AD, Scotland",56.465578,-2.962432
Dundee City,We Are With You,,By Appointment,Addiction Support,Mixed,Adults,Various,Unknown,Unknown,"The Roundhouse, Lothian Crescent. Dundee",DD4 0HU,Unknown,01382 206888,dda@wearewithyou.org.uk,https://www.wearewithyou.org.uk/local-hubs/dundee,Yes,Free,,Age 16+ in Dundee facing challenges with drugs and alcohol.,A free and confidential service for individuals and families affected by drugs and alcohol. Unlocking an individual's full potential through recovery is our ultimate ambition.,"Please contact us first to find out about our groups or make an appointment as we do not offer drop-in appointments here. 1-1, support groups and meetings,support for family and friends, residential rehabilitation, free injecting equipment, naxolone training.",Addiction Support,,,Unknown,"The Roundhouse, Lothian Crescent. Dundee, DD4 0HU, Scotland",56.489503,-2.924921
Dundee City,We Are With You,Drop-In Service,Open Access,Harm Reduction,One-To-One,Adults,Unknown,Unknown,Unknown,"Boots, 94 Albert Street, Dundee",DD4 6QH,Unknown,01382 206888,dda@wearewithyou.org.uk,https://www.wearewithyou.org.uk/local-hubs/dundee,Yes,Free,,Age 16+ in Dundee facing challenges with drugs and alcohol,A free and confidential service for individuals and families affected by drugs and alcohol. Unlocking an individual's full potential through recovery is our ultimate ambition.,"Nurses available from 09:00 - 15:30. This service operates in partnership with NHS Tayside and offers on-site access to specialist harm reduction staff, sexual health nurses and Hepatitis C specialist nurses on a drop-in basis",Harm Reduction,,,Unknown,"Boots, 94 Albert Street, Dundee, DD4 6QH, Scotland",56.470132,-2.95791
Dundee City,We Are With You,Family Support,Scheduled Activity,Family/Carer Support,Group,Adults,Tuesday,10:00:00,12:00:00,"The Roundhouse, Lothian Crescent, Whitfield, Dundee",DD4 0HU,Unknown,01382 206888,dda@wearewithyou.org.uk,https://www.wearewithyou.org.uk/local-hubs/dundee,Yes,Free,,Age 16+ in Dundee who are worried about a family member’s drug use,Open meeting for any family member affected by someone else's substance use. A safe and honest space for support.,Get in touch to find out more and book your place.,Family/Carer Support,10:00,12:00,10:00-12:00,"The Roundhouse, Lothian Crescent, Whitfield, Dundee, DD4 0HU, Scotland",56.489503,-2.924921
Dundee City,We Are With You,Intensive Pre And Post Residential Rehabilitation Support,By Appointment,Rehab Information,One-To-One,Adults,Unknown,Unknown,Unknown,"The Roundhouse, Lothian Crescent, Whitfield, Dundee",DD4 0HU,Unknown,01382 206888,dda@wearewithyou.org.uk,https://www.wearewithyou.org.uk/local-hubs/dundee/services/support-with-residential-rehabilitation,Unknown,Free,,,On Recovery Map as 'Pathways 2 Recovery' (same phone number & address),"Provides emotional and practical support before you go into a residential rehabilitation service, during your stay, and after you've completed your placement.",Rehab Information,,,Unknown,"The Roundhouse, Lothian Crescent, Whitfield, Dundee, DD4 0HU, Scotland",56.489503,-2.924921
Dundee City,Hillcrest Futures,Harm Reduction Service And Bbv (Blood-Borne Viruses) Clinic,Open Access,Harm Reduction,One-To-One,All Ages,Monday,09:00:00,17:00:00,"Hillcrest Futures, 4 South Ward Road, Dundee",DD1 1PN,Unknown,01382 200532,Not listed,https://hillcrest.org.uk/hillcrest-futures/our-services/substance-use/,Yes,Free,,Open to all individuals who use drugs,Not on Recovery Map,"Nurses available from 09:00 - 15:30. This service operates in partnership with NHS Tayside and offers on-site access to specialist harm reduction staff, sexual health nurses and Hepatitis C specialist nurses on a drop-in basis",Harm Reduction,09:00,17:00,09:00-17:00,"Hillcrest Futures, 4 South Ward Road, Dundee, DD1 1PN, Scotland",56.461088,-2.974508
Dundee City,Hillcrest Futures,Harm Reduction Service And Bbv (Blood-Borne Viruses) Clinic,Open Access,Harm Reduction,One-To-One,All Ages,Tuesday,09:00:00,17:00:00,"Hillcrest Futures, 4 South Ward Road, Dundee",DD1 1PN,Unknown,01382 200532,Not listed,https://hillcrest.org.uk/hillcrest-futures/our-services/substance-use/,Yes,Free,,Open to all individuals who use drugs,Not on Recovery Map,"Nurses available from 09:00 - 15:30. This service operates in partnership with NHS Tayside and offers on-site access to specialist harm reduction staff, sexual health nurses and Hepatitis C specialist nurses on a drop-in basis",Harm Reduction,09:00,17:00,09:00-17:00,"Hillcrest Futures, 4 South Ward Road, Dundee, DD1 1PN, Scotland",56.461088,-2.974508
Dundee City,Hillcrest Futures,Harm Reduction Service And Bbv (Blood-Borne Viruses) Clinic,Open Access,Harm Reduction,One-To-One,All Ages,Wednesday,09:00:00,17:00:00,"Hillcrest Futures, 4 South Ward Road, Dundee",DD1 1PN,Unknown,01382 200532,Not listed,https://hillcrest.org.uk/hillcrest-futures/our-services/substance-use/,Yes,Free,,Open to all individuals who use drugs,Not on Recovery Map,"Nurses available from 09:00 - 15:30. This service operates in partnership with NHS Tayside and offers on-site access to specialist harm reduction staff, sexual health nurses and Hepatitis C specialist nurses on a drop-in basis",Harm Reduction,09:00,17:00,09:00-17:00,"Hillcrest Futures, 4 South Ward Road, Dundee, DD1 1PN, Scotland",56.461088,-2.974508
Dundee City,Hillcrest Futures,Harm Reduction Service And Bbv (Blood-Borne Viruses) Clinic,Open Access,Harm Reduction,One-To-One,All Ages,Thursday,09:00:00,19:30:00,"Hillcrest Futures, 4 South Ward Road, Dundee",DD1 1PN,Unknown,01382 200532,Not listed,https://hillcrest.org.uk/hillcrest-futures/our-services/substance-use/,Yes,Free,,Open to all individuals who use drugs,Not on Recovery Map,"Nurses available from 09:00 - 15:30. This service operates in partnership with NHS Tayside and offers on-site access to specialist harm reduction staff, sexual health nurses and Hepatitis C specialist nurses on a drop-in basis",Harm Reduction,09:00,19:30,09:00-19:30,"Hillcrest Futures, 4 South Ward Road, Dundee, DD1 1PN, Scotland",56.461088,-2.974508
Dundee City,Hillcrest Futures,Harm Reduction Service And Bbv (Blood-Borne Viruses) Clinic,Open Access,Harm Reduction,One-To-One,All Ages,Friday,09:00:00,17:00:00,"Hillcrest Futures, 4 South Ward Road, Dundee",DD1 1PN,Unknown,01382 200532,Not listed,https://hillcrest.org.uk/hillcrest-futures/our-services/substance-use/,Yes,Free,,Open to all individuals who use drugs,Not on Recovery Map,"Nurses available from 09:00 - 15:30. This service operates in partnership with NHS Tayside and offers on-site access to specialist harm reduction staff, sexual health nurses and Hepatitis C specialist nurses on a drop-in basis",Harm Reduction,09:00,17:00,09:00-17:00,"Hillcrest Futures, 4 South Ward Road, Dundee, DD1 1PN, Scotland",56.461088,-2.974508
Dundee City,Hillcrest Futures,Young People'S Service,By Appointment,Health And Wellbeing,Mixed,Young People,Unknown,Unknown,Unknown,"South East Pavillion, Baxter Park, Dundee",DD4 7HD,Unknown,01382 458128,youngpeopledundee@hillcrestfutures.org.uk,https://hillcrest.org.uk/hillcrest-futures/our-services/young-people/,Yes,Free,,Age 12 - 25,"Support and education focussing on drugs, alcohol, relationships, parenthood and sexual education to young people in Dundee.  We provide one-to-one support and deliver education to groups within schools and the community.",,Health and Wellbeing,,,Unknown,"South East Pavillion, Baxter Park, Dundee, DD4 7HD, Scotland",56.474188,-2.950377
Angus,Hillcrest Futures,Young People'S Service,By Appointment,Health And Wellbeing,Mixed,Young People,Unknown,Unknown,Unknown,Unknown,UNKNOWN,Unknown,01307 460101,youngpeopleangus@hillcrestfutures.org.uk,https://hillcrest.org.uk/hillcrest-futures/our-services/young-people/,Yes,Free,,Age 12 - 25,Not on Recovery Map,"Support and education focussing on drugs, alcohol, relationships, parenthood and sexual education to young people in Angus.  We provide one-to-one support and deliver education to groups within schools and the community.",Health and Wellbeing,,,Unknown,"Unknown, UNKNOWN, Scotland",55.957517,-3.207089
Perth & Kinross,Hillcrest Futures,Young People'S Service,By Appointment,Health And Wellbeing,Mixed,Young People,Unknown,Unknown,Unknown,Unknown,UNKNOWN,Unknown,01738 474926,youngpeoplepkc@hillcrestfutures.org.uk,https://hillcrest.org.uk/hillcrest-futures/our-services/young-people/,Yes,Free,,Age 12 - 25,Not on Recovery Map,"Support and education focussing on drugs, alcohol, relationships, parenthood and sexual education to young people in Perth & Kinross.  We provide one-to-one support and deliver education to groups within schools and the community.",Health and Wellbeing,,,Unknown,"Unknown, UNKNOWN, Scotland",55.957517,-3.207089
